,Maximum dosage,Total dose,Horizontal distance,Front line of resistance,Differential time,Pre-crack penetration,F-value of the propagation medium,The angle between the measuring point and the direction of the minimum resistance line,Explosives detonation,PPV
1,160,1440,125.3,5,50,0,5,180,2800,0.343
2,312,3120,311.9,7,25,0,8,180,4200,0.753
3,312,3120,389.4,7,25,0,8,180,4200,0.572
4,312,3120,362.3,7,25,0,8,180,4200,1.214
5,312,3120,199.2,7,25,0,8,180,4200,2.148
6,350,1050,114.7,5,100,80,5,160,2800,0.417
7,350,1050,143.5,5,100,50,6,180,2800,0.609
8,350,1050,133.3,5,100,90,5,160,2800,0.194
9,370,2150,70.3,7,25,0,8,180,4200,4.754
10,370,2150,52.4,7,25,0,8,180,4200,4.585
11,370,2150,101.2,7,25,0,6,115,4200,1.554
12,380,1550,162.4,4,75,90,5,40,2800,0.102
13,380,1550,147.8,4,75,90,5,60,2800,0.201
14,380,1550,104.9,4,75,90,5,60,2800,0.463
15,380,1550,336.2,5,50,80,6,55,2800,0.101
16,390,2730,120.9,4,100,100,5,40,2800,0.143
17,390,2730,69.9,6,75,100,8,180,4200,0.394
18,390,2730,50.4,6,75,100,8,180,4200,0.126
19,390,2730,137.8,5,50,80,7,55,2800,0.318
20,390,2730,63.3,5,50,80,7,55,2800,0.657
21,390,2730,128.9,5,50,80,7,55,2800,0.435
22,400,3600,110.6,6,50,0,6,160,4200,0.898
23,400,3600,47.1,6,50,0,6,160,4200,5.371
24,400,3600,137.9,6,50,0,6,160,4200,0.815
25,400,3600,31.5,6,50,0,6,160,4200,5.436
26,456,1860,284.1,6,50,0,6,180,2800,0.368
27,456,1860,300.5,6,50,0,6,180,2800,0.27
28,456,1860,330.4,6,50,0,6,180,2800,0.144
29,460,4600,443.6,7,25,0,8,180,2800,0.51
30,460,4600,363.3,7,25,0,8,180,2800,0.476
31,460,2760,323.6,6,50,0,6,150,2800,0.203
32,460,2760,313.2,6,50,0,6,150,2800,0.391
33,468,936,85.2,6,50,0,6,120,2800,2.486
34,468,936,75.5,6,50,0,6,180,2800,3.35
35,494,3952,122.6,5,100,0,5,120,2800,0.608
36,494,3952,66.7,5,100,0,6,180,2800,3.029
37,494,3952,183.2,5,100,0,5,120,2800,0.105
38,494,1482,170.4,5,50,0,6,130,2800,0.195
39,494,1482,132.5,5,50,0,6,130,2800,0.413
40,494,5434,149.2,6,25,0,7,180,2800,0.923
41,494,5434,96.4,6,25,0,7,180,2800,1.413
42,494,1482,142.9,5,50,0,6,90,2800,0.231
43,494,1482,81.5,5,50,0,6,90,2800,0.806
44,494,1482,80.2,5,50,0,6,90,2800,0.598
45,507,7650,193.5,5,100,0,6,0,2800,0.106
46,507,7650,235.2,5,100,0,6,0,2800,0.196
47,507,7650,332.3,5,100,0,8,40,2800,0.292
48,532,6084,73,6,25,0,7,180,4200,2.372
49,532,6084,124.2,6,25,0,7,180,4200,1.442
50,550,4400,123.4,5,75,90,8,180,2800,1.562
51,550,4400,89.5,5,75,90,8,180,2800,1.279
52,550,4400,79.1,5,75,90,8,180,2800,1.216
53,550,4400,97.4,5,75,90,8,180,2800,1.425
54,646,8395,121.4,6,50,0,8,180,4200,3.55
55,646,8395,121.7,6,50,0,6,150,4200,2.45
56,646,1950,58.2,5,75,0,6,0,4200,1.4
57,646,1950,111.3,5,75,0,6,0,4200,0.347
58,646,1950,113.4,5,75,0,6,0,4200,0.262
59,730,4380,74.5,6,50,50,5,160,4200,1.912
60,730,4380,115.7,6,50,50,6,180,4200,1.597
61,730,4380,142.2,6,50,50,6,180,4200,1.092
62,770,3080,138.2,6,50,0,6,60,2800,1.365
63,770,3080,107.2,6,50,0,6,60,2800,1.465
64,770,3080,175.9,6,50,0,6,60,2800,0.243
65,770,3080,76.2,6,50,0,8,90,2800,4.631
66,840,5660,119.9,5,50,0,6,180,4200,1.809
67,840,5660,149.7,5,50,0,6,180,4200,1.501
68,840,5660,214.7,6,50,0,7,120,4200,0.218
69,840,5660,256.6,6,50,0,7,120,4200,0.291
70,890,1800,72.1,5,75,100,8,80,4200,3.194
71,890,1800,53.2,5,75,100,6,50,4200,2.389
72,890,1800,88.8,5,75,100,6,50,4200,2.542
73,890,1800,103.7,5,75,100,8,70,4200,2.316
74,1012,3036,92.3,4,100,0,6,0,2800,1.554
75,1012,3036,326.6,4,100,0,6,0,2800,0.16
76,1012,3036,85.3,4,100,0,6,0,2800,1.715
77,1090,5450,391.5,5,75,100,8,90,4200,0.375
78,1090,5450,419.1,5,75,100,8,90,4200,0.196
79,1090,5450,253.1,5,75,100,8,90,4200,0.395
80,1090,5450,297,5,75,100,8,90,4200,0.39
81,1090,5450,231.9,5,75,100,8,90,4200,0.496
82,1160,4640,185.7,4,100,100,5,160,2800,0.108
83,1160,4640,193.3,4,100,100,5,160,2800,0.219
84,1160,4640,142.8,4,100,100,5,160,2800,0.363
85,1160,4640,116.6,4,100,100,5,180,2800,1.029
86,1160,2320,325.1,6,75,0,5,160,2800,0.176
87,1160,2320,279.4,6,75,0,5,180,2800,0.67
88,1180,7080,151.5,6,25,70,8,180,4200,0.777
89,1180,7080,91.2,6,25,70,8,180,4200,3.093
90,1180,7080,76.6,6,25,70,8,180,4200,3.406
91,1180,7080,86.3,6,25,70,8,180,4200,3.386
92,1180,7080,132.5,6,25,0,7,180,4200,1.523
93,1250,5100,207.4,5,25,0,5,180,4200,1.025
94,1250,5100,137.1,5,25,0,5,180,4200,1.388
95,1250,5100,242.8,6,25,0,7,180,4200,0.587
96,1250,5100,188.5,6,25,0,7,180,4200,0.621
97,1290,3870,177.6,6,25,0,7,180,4200,1.102
98,1290,3870,227.5,6,25,0,7,180,4200,0.67
99,1290,3870,140.6,6,25,0,7,180,4200,1.936
100,1410,6780,189.9,5,50,0,7,180,4200,1.047
101,1410,6780,138.2,5,50,0,7,180,4200,1.302
102,1410,6780,79.4,5,50,0,7,180,4200,2.69
103,1490,3100,444.3,5,25,80,6,180,4200,0.476
104,1490,3100,364.4,5,25,80,6,180,4200,0.349
105,1490,3100,417.4,5,25,80,6,180,4200,0.201
106,1490,3100,316.9,5,25,80,6,180,4200,0.598
107,1540,2350,195.3,6,50,100,8,0,2800,0.128
108,1540,2350,240.9,6,50,100,8,0,2800,0.167
109,1540,2350,336.2,6,50,100,8,0,2800,0.26
110,1636,4980,125.1,4,25,0,7,180,4200,2.124
111,1636,4980,224.3,4,25,0,7,180,4200,1.409
112,1660,8300,175.6,4,50,0,6,60,2800,0.445
113,1660,8300,133.76,4,50,0,6,60,2800,0.884
114,1790,5370,314.8,4,100,60,6,50,2800,0.713
115,1790,5370,393.1,4,100,60,6,50,2800,0.302
116,1790,5370,363.8,4,100,60,6,50,2800,0.681
117,1790,5370,266.3,4,100,60,6,50,2800,0.893
118,1790,5370,205.2,4,100,60,6,50,2800,0.908
119,1800,9000,93.7,6,50,0,6,180,2800,4.094
120,1800,9000,78.1,6,50,0,6,180,2800,4.366
121,1800,9000,134.3,6,50,0,6,180,2800,2.913
122,1850,8500,68.5,6,25,0,7,180,2800,3.88
123,1850,8500,46.2,6,25,0,7,180,2800,7.47
124,1850,8500,150.6,6,25,0,7,180,2800,0.987
125,2180,4360,226.9,5,75,0,6,60,4200,0.498
126,2180,4360,159.7,5,75,0,6,60,4200,0.825
127,2180,4360,108.2,5,75,0,6,60,4200,1.132
128,3080,5600,274.6,5,25,0,5,180,2800,0.63
129,3080,5600,241.7,5,25,0,5,180,2800,0.621
130,3080,5600,127.5,6,100,0,6,110,2800,1.207
131,3080,5600,189.8,6,100,0,6,110,2800,0.784
132,3080,5600,94.9,6,100,0,6,110,2800,1.705
133,5590,6370,92.3,6,75,0,5,180,2800,5.093
134,5590,6370,148.8,6,75,0,5,120,2800,3.228
135,5590,6370,135.8,6,75,0,5,160,2800,3.58
136,5590,6370,168.9,6,50,0,6,180,2800,5.653
137,5590,6370,199.9,6,50,0,6,180,2800,4.274
